time,us,acc
15:52:23.855,16473864,37.10
15:52:23.889,16505888,39.09
15:52:23.926,16537904,39.66
15:52:23.964,16569936,38.47
15:52:24.000,16601972,36.52
15:52:24.034,16633992,36.54
15:52:24.034,16666036,35.73
15:52:24.069,16698060,38.60
15:52:24.107,16730088,38.76
15:52:24.144,16762132,34.04
15:52:24.180,16794148,35.45
15:52:24.218,16826164,39.38
15:52:24.255,16858188,36.71
15:52:24.292,16890212,38.83
15:52:24.292,16922248,37.73
15:52:24.330,16954264,30.40
15:52:24.368,16986284,35.93
15:52:24.403,17018320,37.47
15:52:24.439,17050332,34.22
15:52:24.472,17082340,34.22
15:52:24.507,17114356,37.66
15:52:24.544,17146384,34.50
15:52:24.577,17178408,37.60
15:52:24.612,17210436,38.68
15:52:24.612,17242472,39.54
15:52:24.648,17274512,36.06
15:52:24.685,17306540,36.01
15:52:24.722,17338556,31.74
15:52:24.756,17370588,38.60
15:52:24.791,17402608,36.80
15:52:24.828,17434640,41.17
15:52:24.864,17466664,37.65
15:52:24.901,17498704,37.81
15:52:24.901,17530736,38.56
15:52:24.937,17562756,38.40
15:52:24.975,17594788,34.95
15:52:25.013,17626812,40.19
15:52:25.049,17658832,38.91
15:52:25.086,17690848,43.09
15:52:25.124,17722868,34.53
15:52:25.124,17754892,35.22
15:52:25.160,17786920,32.62
15:52:25.197,17818944,37.40
15:52:25.234,17850968,34.28
15:52:25.271,17882988,33.56
15:52:25.308,17915016,36.16
15:52:25.342,17947040,44.42
15:52:25.377,17979056,40.15
15:52:25.414,18011068,43.85
15:52:25.451,18043092,34.18
15:52:25.451,18075108,40.46
15:52:25.487,18107128,29.83
15:52:25.523,18139156,34.20
15:52:25.557,18171176,29.12
15:52:25.592,18203208,34.70
15:52:25.626,18235204,36.17
15:52:25.662,18267212,51.10
15:52:25.699,18299232,34.77
15:52:25.735,18331272,41.13
15:52:25.735,18363296,35.93
15:52:25.772,18395312,38.15
15:52:25.808,18427332,29.12
15:52:25.846,18459352,38.37
15:52:25.880,18491364,33.61
15:52:25.917,18523388,35.68
15:52:25.954,18555408,32.15
15:52:25.992,18587420,36.13
15:52:25.992,18619440,39.34
15:52:26.028,18651468,42.59
15:52:26.065,18683496,36.01
15:52:26.100,18715520,42.13
15:52:26.134,18747544,34.45
15:52:26.170,18779580,36.16
15:52:26.204,18811600,36.84
15:52:26.238,18843624,34.02
15:52:26.274,18875640,28.58
15:52:26.309,18907656,38.85
15:52:26.345,18939672,41.46
15:52:26.345,18971692,42.31
15:52:26.380,19003708,40.14
15:52:26.417,19035732,47.08
15:52:26.455,19067748,31.68
15:52:26.493,19099776,38.33
15:52:26.530,19131808,32.64
15:52:26.566,19163828,31.87
15:52:26.566,19195844,30.57
15:52:26.602,19227844,39.50
15:52:26.639,19259852,37.46
15:52:26.676,19291872,40.24
15:52:26.710,19323896,44.86
15:52:26.746,19355928,40.51
15:52:26.783,19387960,39.46
15:52:26.820,19419988,36.45
15:52:26.855,19452016,32.77
15:52:26.892,19484056,36.10
15:52:26.892,19516060,33.27
15:52:26.929,19548076,32.32
15:52:26.967,19580092,37.32
15:52:27.005,19612116,39.61
15:52:27.039,19644140,40.70
15:52:27.076,19676156,39.99
15:52:27.110,19708208,40.04
15:52:27.110,19740232,36.11
15:52:27.145,19772256,37.08
15:52:27.179,19804276,30.59
15:52:27.217,19836300,40.72
15:52:27.250,19868328,35.21
15:52:27.287,19900340,35.50
15:52:27.322,19932364,38.47
15:52:27.356,19964364,39.21
15:52:27.393,19996380,39.01
15:52:27.430,20028404,44.01
15:52:27.430,20060416,39.24
15:52:27.467,20092436,39.96
15:52:27.505,20124456,35.76
15:52:27.538,20156484,32.21
15:52:27.572,20188484,33.21
15:52:27.605,20220516,37.19
15:52:27.643,20252532,38.41
15:52:27.680,20284536,38.60
15:52:27.717,20316556,39.54
15:52:27.752,20348580,39.86
15:52:27.789,20380604,40.66
15:52:27.789,20412624,43.62
15:52:27.822,20444656,38.89
15:52:27.856,20476680,33.87
15:52:27.890,20508708,33.44
15:52:27.927,20540728,38.16
15:52:27.963,20572768,33.65
15:52:28.000,20604788,36.88
15:52:28.036,20636808,37.65
15:52:28.074,20668844,38.74
15:52:28.074,20700864,41.23
15:52:28.112,20732880,37.69
15:52:28.149,20764908,38.40
15:52:28.184,20796932,42.17
15:52:28.221,20828956,38.82
15:52:28.258,20860988,38.37
15:52:28.296,20893032,33.86
15:52:28.331,20925052,37.98
15:52:28.331,20957080,37.43
15:52:28.364,20989108,38.28
15:52:28.402,21021132,35.04
15:52:28.436,21053156,41.66
15:52:28.473,21085192,38.38
15:52:28.507,21117212,35.57
15:52:28.544,21149236,34.42
15:52:28.578,21181252,35.40
15:52:28.615,21213264,33.63
15:52:28.653,21245292,37.85
15:52:28.653,21277332,37.38
15:52:28.690,21309360,36.29
15:52:28.724,21341384,36.98
15:52:28.761,21373396,33.23
15:52:28.799,21405424,37.88
15:52:28.833,21437456,38.72
15:52:28.871,21469472,37.25
15:52:28.907,21501504,40.11
15:52:28.907,21533520,40.17
15:52:28.941,21565536,35.11
15:52:28.979,21597576,36.57
15:52:29.016,21629596,34.09
15:52:29.052,21661612,34.96
15:52:29.089,21693644,39.21
15:52:29.123,21725668,39.18
15:52:29.156,21757700,38.81
15:52:29.194,21789732,40.23
15:52:29.194,21821752,37.67
15:52:29.230,21853780,38.52
15:52:29.268,21885804,41.42
15:52:29.301,21917828,38.64
15:52:29.338,21949864,37.36
15:52:29.375,21981880,35.80
15:52:29.410,22013904,40.77
15:52:29.446,22045928,36.02
15:52:29.484,22077956,41.37
15:52:29.484,22109956,38.06
15:52:29.522,22141968,40.26
15:52:29.559,22173988,36.56
15:52:29.595,22206020,38.33
15:52:29.632,22238036,38.60
15:52:29.668,22270064,34.91
15:52:29.705,22302092,34.42
15:52:29.742,22334116,39.66
15:52:29.742,22366144,36.36
15:52:29.776,22398160,36.40
15:52:29.813,22430176,37.17
15:52:29.851,22462196,39.13
15:52:29.888,22494224,36.38
15:52:29.923,22526256,40.78
15:52:29.958,22558292,38.18
15:52:29.991,22590316,32.29
15:52:30.026,22622336,35.78
15:52:30.026,22654372,39.41
15:52:30.060,22686380,36.26
15:52:30.096,22718396,38.65
15:52:30.133,22750432,38.45
15:52:30.170,22782444,37.83
15:52:30.207,22814476,42.59
15:52:30.246,22846500,36.30
15:52:30.283,22878532,37.31
15:52:30.321,22910568,36.98
15:52:30.321,22942596,32.25
15:52:30.355,22974612,38.79
15:52:30.391,23006652,35.85
15:52:30.429,23038676,38.01
15:52:30.463,23070696,39.02
15:52:30.497,23102716,37.35
15:52:30.534,23134740,38.34
15:52:30.567,23166760,36.74
15:52:30.603,23198792,37.88
15:52:30.641,23230820,38.22
15:52:30.641,23262844,39.33
15:52:30.676,23294876,34.16
15:52:30.714,23326904,36.89
15:52:30.752,23358928,37.61
